landscape,model,scenario,diversity,biomass,big_trees
dischma,ILAND,alpha,high,257.55,147.53
dischma,ILAND,alpha,high_future,245.47,129.55
dischma,ILAND,alpha,low,264.07,174.81
dischma,ILAND,beta,high,242.25,158.23
dischma,ILAND,beta,high_future,219.88,137.59
dischma,ILAND,beta,low,261.21,170.51
dischma,ILAND,prod,no,280.86,183.19
dischma,LANDCLIM,alpha,high,140.75,57.56
dischma,LANDCLIM,alpha,high_future,146.3,58.9
dischma,LANDCLIM,alpha,low,132.26,48.85
dischma,LANDCLIM,beta,high,140.24,56.76
dischma,LANDCLIM,beta,high_future,144.81,58.3
dischma,LANDCLIM,beta,low,134.55,49.87
dischma,LANDCLIM,prod,no,125.2,46.23
rosalia,ILAND,alpha,high,274.3,154.75
rosalia,ILAND,alpha,high_future,271.16,153.12
rosalia,ILAND,alpha,low,365.09,240.43
rosalia,ILAND,beta,high,266.21,164.73
rosalia,ILAND,beta,high_future,261.58,160.99
rosalia,ILAND,beta,low,370.67,203
rosalia,ILAND,prod,no,361.61,128.88
rosalia,LANDCLIM,alpha,high,181.96,82.66
rosalia,LANDCLIM,alpha,high_future,186.29,85.14
rosalia,LANDCLIM,alpha,low,204.66,82.02
rosalia,LANDCLIM,beta,high,173.43,73.9
rosalia,LANDCLIM,beta,high_future,176.32,74.87
rosalia,LANDCLIM,beta,low,204.86,97.26
rosalia,LANDCLIM,prod,no,199.89,97.31
