landscape,model,climate,diversity,cv_agb,cv_bt
dischma,ILAND,historic,high,11.57,8.56
dischma,ILAND,historic,high_future,8.87,8.4
dischma,ILAND,historic,low,5.39,6.11
dischma,ILAND,historic,no,5.36,5.29
dischma,ILAND,RCP45,high,26.14,22.55
dischma,ILAND,RCP45,high_future,24.78,18.62
dischma,ILAND,RCP45,low,20.19,16.88
dischma,ILAND,RCP45,no,17.24,12.5
dischma,ILAND,RCP85,high,29.06,26.02
dischma,ILAND,RCP85,high_future,25.75,19.75
dischma,ILAND,RCP85,low,22.98,18.74
dischma,ILAND,RCP85,no,19.85,13.1
dischma,LANDCLIM,historic,high,6.57,20.48
dischma,LANDCLIM,historic,high_future,6.61,20.25
dischma,LANDCLIM,historic,low,2.97,44.28
dischma,LANDCLIM,historic,no,3.24,60.45
dischma,LANDCLIM,RCP45,high,14.31,14.04
dischma,LANDCLIM,RCP45,high_future,15.25,15.35
dischma,LANDCLIM,RCP45,low,11.61,26.66
dischma,LANDCLIM,RCP45,no,11.42,25.24
dischma,LANDCLIM,RCP85,high,17.77,29.96
dischma,LANDCLIM,RCP85,high_future,22.9,36.36
dischma,LANDCLIM,RCP85,low,25.46,54.79
dischma,LANDCLIM,RCP85,no,36.64,85.4
rosalia,ILAND,historic,high,9.13,18.69
rosalia,ILAND,historic,high_future,10.57,21.82
rosalia,ILAND,historic,low,5.32,26.27
rosalia,ILAND,historic,no,5.72,89.62
rosalia,ILAND,RCP45,high,6.19,9.03
rosalia,ILAND,RCP45,high_future,6.32,9.06
rosalia,ILAND,RCP45,low,6.55,16.6
rosalia,ILAND,RCP45,no,4.4,33.42
rosalia,ILAND,RCP85,high,7.05,7.06
rosalia,ILAND,RCP85,high_future,6.79,7.29
rosalia,ILAND,RCP85,low,7.96,13.63
rosalia,ILAND,RCP85,no,7.14,28.38
rosalia,LANDCLIM,historic,high,9.01,24.29
rosalia,LANDCLIM,historic,high_future,8.82,24.26
rosalia,LANDCLIM,historic,low,10.92,41.33
rosalia,LANDCLIM,historic,no,8.59,29.13
rosalia,LANDCLIM,RCP45,high,5.93,18.22
rosalia,LANDCLIM,RCP45,high_future,6.19,18.21
rosalia,LANDCLIM,RCP45,low,5.24,34.38
rosalia,LANDCLIM,RCP45,no,5.67,26.29
rosalia,LANDCLIM,RCP85,high,14.18,41.79
rosalia,LANDCLIM,RCP85,high_future,14.09,40.58
rosalia,LANDCLIM,RCP85,low,17.23,65.82
rosalia,LANDCLIM,RCP85,no,25.08,50.18
